sample_name	isolate_name	year_of_isolation	isolate_from_carriage_or_pyomyositis	pvl_presence_inferred_from_blast
SRR6346882	PYO585	2007	Pyomyositis	1
SRR6346883	COP1496	2008	Carriage	0
SRR6346884	COP2531	2008	Carriage	1
SRR6346885	COP434	2008	Carriage	1
SRR6346886	2012_299	2012	Carriage	0
SRR6346887	PYO3655	2011	Pyomyositis	1
SRR6346888	COP850	2008	Carriage	0
SRR6346889	PYO588	2007	Pyomyositis	1
SRR6346890	PYO461	2007	Pyomyositis	1
SRR6346891	COP946	2008	Carriage	0
SRR6346892	PYO409	2007	Pyomyositis	1
SRR6346893	2012_19	2012	Carriage	0
SRR6346894	2012_998	2012	Carriage	1
SRR6346895	2012_121	2012	Carriage	0
SRR6346896	2012_620	2012	Carriage	0
SRR6346897	2012_249	2012	Carriage	0
SRR6346898	COP561	2008	Carriage	0
SRR6346899	COP1996	2008	Carriage	0
SRR6346900	2012_195	2012	Carriage	0
SRR6346901	2012_555	2012	Carriage	0
SRR6346902	2012_861	2012	Carriage	0
SRR6346903	COP2315	2008	Carriage	0
SRR6346904	2012_771	2012	Carriage	1
SRR6346905	2012_310	2012	Carriage	0
SRR6346906	COP2464	2008	Carriage	1
SRR6346907	COP2103	2008	Carriage	1
SRR6346908	COP680	2008	Carriage	0
SRR6346909	COP638	2008	Carriage	0
SRR6346910	PYO3206	2011	Pyomyositis	1
SRR6346911	COP49	2008	Carriage	1
SRR6346912	COP512	2008	Carriage	0
SRR6346913	COP2053	2008	Carriage	0
SRR6346914	COP39	2008	Carriage	0
SRR6346915	COP1072	2008	Carriage	1
SRR6346916	2012_741	2012	Carriage	0
SRR6346917	2012_572	2012	Carriage	0
SRR6346918	COP2109	2008	Carriage	0
SRR6346919	2012_242	2012	Carriage	0
SRR6346920	2012_624	2012	Carriage	0
SRR6346921	COP490	2008	Carriage	1
SRR6346922	2012_384	2012	Carriage	0
SRR6346923	2012_953	2012	Carriage	0
SRR6346924	COP838	2008	Carriage	1
SRR6346925	PYO1862	2010	Pyomyositis	1
SRR6346926	COP214	2008	Carriage	0
SRR6346927	2012_201	2012	Carriage	0
SRR6346928	COP190	2008	Carriage	0
SRR6346929	PYO924	2008	Pyomyositis	1
SRR6346930	2012_661	2012	Carriage	0
SRR6346931	2012_895	2012	Carriage	0
SRR6346932	2012_692	2012	Carriage	1
SRR6346933	2012_320	2012	Carriage	0
SRR6346934	COP1183	2008	Carriage	0
SRR6346935	PYO2416	2010	Pyomyositis	1
SRR6346936	COP2367	2008	Carriage	0
SRR6346937	COP1701	2008	Carriage	1
SRR6346938	PYO407	2007	Pyomyositis	1
SRR6346939	COP2358	2008	Carriage	0
SRR6346940	2012_855	2012	Carriage	0
SRR6346941	COP905	2008	Carriage	1
SRR6346942	COP313	2008	Carriage	0
SRR6346943	PYO3986	2011	Pyomyositis	1
SRR6346944	COP1281	2008	Carriage	0
SRR6346945	2012_434	2012	Carriage	0
SRR6346946	COP1534	2008	Carriage	0
SRR6346947	2012_636	2012	Carriage	0
SRR6346948	PYO1300	2009	Pyomyositis	1
SRR6346949	2012_385	2012	Carriage	1
SRR6346950	PYO676	2007	Pyomyositis	1
SRR6346951	PYO1709	2009	Pyomyositis	1
SRR6346952	COP2139	2008	Carriage	0
SRR6346953	COP2214	2008	Carriage	0
SRR6346954	PYO351	2007	Pyomyositis	1
