sample_name	geo_loc_name	Host	isolate	LibrarySelection	LibrarySource	isolation_source	serotype	genotype	strain	majority_hosts
SRR24842935	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-005/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842936	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842937	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842938	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-011578-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842939	USA: North Dakota	Haliaeetus leucocephalus	A/Bald Eagle/North Dakota/22-011573-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842940	USA: North Dakota	Accipitridae sp.	A/Hawk/North Dakota/22-011572-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842941	USA: North Dakota	Accipiter cooperii	A/Cooper's Hawk/North Dakota/22-011572-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842942	USA: North Dakota	Bubo virginianus	A/Great Horned Owl/North Dakota/22-011571-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842943	USA: North Dakota	Haliaeetus leucocephalus	A/Bald Eagle/North Dakota/22-011570-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842944	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-011569-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842945	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-010663-007/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842946	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011569-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842947	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-013138-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842948	USA: North Dakota	Buteo jamaicensis	A/Red-tailed Hawk/North Dakota/22-013136-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842949	USA: North Dakota	Buteo jamaicensis	A/Red-tailed Hawk/North Dakota/22-013135-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842950	USA: North Dakota	Cathartes aura	A/Turkey Vulture/North Dakota/22-013134-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842951	USA: North Dakota	Bubo virginianus	A/Great Horned Owl/North Dakota/22-013133-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842952	USA: Montana	Anas sp.	A/Duck/Montana/22-013055-005/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			NA
SRR24842953	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010684-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842954	USA: Montana	Gallus gallus	A/Chicken/Montana/22-013053-002/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			Gallus gallus
SRR24842955	USA: Minnesota	Accipitridae sp.	A/Hawk/Minnesota/22-013128-007/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
