sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1672867	2012	EOD	Blood	Ib	1	1	2	EOD_Blood
ERR1672760	2010	LOD	Blood	Ia	1551	23	4	LOD_Blood
ERR1672868	2012	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672869	2012	EOD	Blood	III	1498	17	6	EOD_Blood
ERR1672870	2012	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672871	2012	EOD	Blood	III	109	17	6	EOD_Blood
ERR1672872	2012	LOD	Blood	V	19	19	3	LOD_Blood
ERR1672873	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672874	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672875	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672876	2012	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1672877	2012	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672761	2010	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672878	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672880	2012	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672881	2012	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672882	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672883	2012	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672884	2012	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1672885	2012	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672886	2012	LOD	CSF	III	1544	19	3	LOD_CSF
ERR1672887	2012	LOD	CSF	III	23	N/D	5	LOD_CSF
ERR1672762	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672888	2012	EOD	Blood	II	751	10	1	EOD_Blood
ERR1672889	2012	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672890	2012	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672891	2012	EOD	CSF	IV	196	1	2	EOD_CSF
ERR1672892	2012	LOD	CSF	III	1600	19	3	LOD_CSF
ERR1672894	2012	LOD	Blood	III	106	19	3	LOD_Blood
ERR1672895	2012	EOD	CSF	III	12	10	1	EOD_CSF
ERR1672896	2012	LOD	CSF	III	148	17	6	LOD_CSF
ERR1672897	2012	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672763	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672898	2012	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672899	2012	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1672900	2012	LOD	Blood	III	529	19	3	LOD_Blood
ERR1672901	2012	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1672902	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672903	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672904	2012	EOD	Blood	V	23	23	4	EOD_Blood
ERR1672905	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672906	2012	EOD	CSF	III	27	19	3	EOD_CSF
ERR1672907	2012	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672908	2012	EOD	Blood	IV	2	1	2	EOD_Blood
ERR1672909	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672910	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672912	2012	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672913	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672914	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672915	2012	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672916	2013	LOD	CSF	III	95	17	6	LOD_CSF
ERR1672917	2013	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672765	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672918	2013	LOD	Blood	Ib	12	10	1	LOD_Blood
ERR1672919	2013	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672921	2013	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672922	2013	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672923	2013	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672924	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672925	2013	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672926	2013	LOD	CSF	III	335	19	3	LOD_CSF
ERR1672927	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672766	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672928	2013	LOD	CSF	III	19	19	3	LOD_CSF
ERR1672929	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672930	2015	EOD	Blood	III	335	19	3	EOD_Blood
ERR1672931	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672932	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672933	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672934	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672935	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672936	2015	EOD	Blood	Ib	1	1	2	EOD_Blood
ERR1672767	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672750	2010	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672768	2011	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672769	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672770	2011	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672771	2011	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672772	2011	EOD	Blood	III	529	19	3	EOD_Blood
ERR1672773	2011	LOD	CSF	III	335	19	3	LOD_CSF
ERR1672774	2011	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672775	2011	LOD	Blood	Ia	498	23	4	LOD_Blood
ERR1672751	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672779	2011	LOD	Blood	V	19	19	3	LOD_Blood
ERR1672780	2011	LOD	Blood	Ia	4	1	2	LOD_Blood
ERR1672781	2011	EOD	Blood	Ia	1601	23	4	EOD_Blood
ERR1672783	2011	LOD	Blood	Ia	4	1	2	LOD_Blood
ERR1672784	2011	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672785	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672786	2011	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672752	2010	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672788	2011	LOD	Blood	Ia	4	1	2	LOD_Blood
ERR1672789	2011	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1672790	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672791	2011	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672792	2011	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672793	2011	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672794	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672795	2011	EOD	Blood	V	110	19	3	EOD_Blood
ERR1672796	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672797	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672753	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672798	2011	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672799	2011	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672800	2011	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672801	2011	EOD	Blood	III	1498	17	6	EOD_Blood
ERR1672802	2011	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672803	2011	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672804	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672805	2011	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672806	2011	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672807	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672808	2011	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672809	2011	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1672810	2011	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672811	2011	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672812	2011	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1672813	2011	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672814	2011	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672815	2011	LOD	Blood	III	529	19	3	LOD_Blood
ERR1672816	2011	LOD	Blood	III	529	19	3	LOD_Blood
ERR1672817	2011	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672755	2010	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672818	2011	EOD	Blood	V	10	10	1	EOD_Blood
ERR1672819	2011	EOD	Blood	V	19	19	3	EOD_Blood
ERR1672820	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672821	2011	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672823	2011	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672824	2011	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672825	2011	EOD	CSF	Ia	24	23	4	EOD_CSF
ERR1672826	2011	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672827	2011	LOD	Blood	IV	196	1	2	LOD_Blood
ERR1672756	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672828	2011	EOD	Blood	VI	153	1	2	EOD_Blood
ERR1672829	2011	EOD	Blood	III	1498	17	6	EOD_Blood
ERR1672830	2012	EOD	Blood	Ia	498	23	4	EOD_Blood
ERR1672832	2012	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672833	2012	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672834	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672835	2012	LOD	Blood	III	147	17	6	LOD_Blood
ERR1672836	2012	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672837	2016	LOD	Blood	IX	130	130	5	LOD_Blood
ERR1672757	2010	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672838	2016	EOD	Blood	III	1578	17	6	EOD_Blood
ERR1672839	2016	EOD	Blood	V	110	19	3	EOD_Blood
ERR1672840	2016	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672841	2016	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672842	2012	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672843	2012	EOD	Blood	II	28	19	3	EOD_Blood
ERR1672844	2012	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672845	2012	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672846	2012	LOD	CSF	III	1597	17	6	LOD_CSF
ERR1672847	2012	LOD	Blood	III	1498	17	6	LOD_Blood
