sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1625349	2002	EOD	CSF	III	1540	19	3	EOD_CSF
ERR1625351	2002	LOD	CSF	Ib	8	10	1	LOD_CSF
ERR1625307	2001	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625352	2002	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625353	2002	EOD	CSF	Ia	144	23	4	EOD_CSF
ERR1625354	2002	LOD	Blood	IV	2	1	2	LOD_Blood
ERR1625355	2002	EOD	Blood	II	2	1	2	EOD_Blood
ERR1625356	2002	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625357	2002	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625358	2002	EOD	Blood	Ia	1590	23	4	EOD_Blood
ERR1625359	2002	LOD	Blood	Ia	7	10	1	LOD_Blood
ERR1625361	2002	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1625308	2001	LOD	CSF	III	23	N/D	5	LOD_CSF
ERR1625362	2002	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625363	2002	EOD	Blood	VII	1	1	2	EOD_Blood
ERR1625364	2002	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625365	2002	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625366	2002	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625367	2002	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625368	2002	EOD	Blood	III	27	19	3	EOD_Blood
ERR1625369	2002	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1625370	2002	EOD	CSF	III	484	17	6	EOD_CSF
ERR1625371	2002	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625372	2002	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625373	2002	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625376	2002	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625377	2002	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625378	2002	LOD	Blood	III	1004	17	6	LOD_Blood
ERR1625379	2002	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625381	2002	LOD	Blood	II	28	19	3	LOD_Blood
ERR1625382	2002	EOD	Blood	III	27	19	3	EOD_Blood
ERR1625383	2002	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625384	2002	EOD	Blood	II	2	1	2	EOD_Blood
ERR1625385	2003	EOD	Blood	II	12	10	1	EOD_Blood
ERR1625386	2003	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1625387	2003	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625388	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625391	1988	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625311	2001	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625392	1988	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625393	1988	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625394	1988	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1625395	1988	EOD	Blood	II	1572	19	3	EOD_Blood
ERR1625396	1988	EOD	CSF	III	1561	17	6	EOD_CSF
ERR1625397	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625398	2003	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625399	2003	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625400	2003	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1625401	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659680	2013	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1659689	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659779	2014	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659780	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659781	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659782	2014	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659783	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659784	2014	EOD	Blood	III	529	19	3	EOD_Blood
ERR1659785	2014	EOD	CSF	III	1423	17	6	EOD_CSF
ERR1659786	2014	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659787	2014	EOD	Blood	V	110	19	3	EOD_Blood
ERR1659788	2014	EOD	Blood	II	1562	10	1	EOD_Blood
ERR1659690	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659789	2014	EOD	Blood	II	19	19	3	EOD_Blood
ERR1659790	2014	EOD	Blood	II	12	10	1	EOD_Blood
ERR1659791	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659792	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659793	2014	EOD	Blood	III	27	19	3	EOD_Blood
ERR1659794	2014	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659795	2014	LOD	CSF	III	19	19	3	LOD_CSF
ERR1659796	2014	LOD	Blood	Ia	144	23	4	LOD_Blood
ERR1659797	2014	EOD	Blood	Ia	88	N/D	5	EOD_Blood
ERR1659798	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659691	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659799	2014	EOD	Blood	V	1	1	2	EOD_Blood
ERR1659801	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659802	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659803	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659804	2014	EOD	CSF	III	287	17	6	EOD_CSF
ERR1659805	2014	EOD	Blood	II	1591	19	3	EOD_Blood
ERR1659806	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659808	2014	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659692	2013	LOD	CSF	III	287	17	6	LOD_CSF
ERR1659809	2014	EOD	CSF	III	19	19	3	EOD_CSF
ERR1659810	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659811	2014	EOD	CSF	VI	1	1	2	EOD_CSF
ERR1659812	2014	LOD	Blood	III	19	19	3	LOD_Blood
ERR1659814	2014	LOD	Blood	Ib	10	10	1	LOD_Blood
ERR1659816	2014	LOD	Blood	V	7	10	1	LOD_Blood
ERR1659817	2015	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659818	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659693	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659819	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659820	2015	EOD	Blood	IV	1189	1	2	EOD_Blood
ERR1659821	2015	LOD	CSF	Ia	144	23	4	LOD_CSF
ERR1659822	2015	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1659823	2015	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659825	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659826	2015	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659827	2015	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659828	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659694	2013	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659830	2015	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659831	2015	EOD	Blood	II	22	22	5	EOD_Blood
ERR1659832	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659833	2015	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659834	2015	EOD	Blood	V	1542	10	1	EOD_Blood
ERR1659835	2015	EOD	Blood	II	1587	10	1	EOD_Blood
ERR1659836	2015	LOD	CSF	III	1219	17	6	LOD_CSF
ERR1659837	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659838	2015	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659695	2013	EOD	Blood	II	10	10	1	EOD_Blood
ERR1659839	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659840	2015	EOD	Blood	II	2	1	2	EOD_Blood
ERR1659841	2015	EOD	Blood	II	28	19	3	EOD_Blood
ERR1659842	2015	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659843	2015	EOD	Blood	III	106	19	3	EOD_Blood
ERR1659844	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659845	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659846	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659847	2015	EOD	Blood	Ia	103	103	5	EOD_Blood
ERR1659848	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659696	2013	LOD	CSF	III	148	17	6	LOD_CSF
