sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16989179	yHMPu5000038105_candida_maesa_201018	38105	Phaffomycetales	Candida maesae	Standard	Standard	0	0.29565040061891	0.972633579719926	0.806860424011888	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	Yes	leaf of Maesa japonica	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974337	yHMPu5000034992_candida_maltosa_190924.haplomerger2	34992	Serinales	Candida maltosa	Standard	Standard	0.224333146683144	0.292099992102164	0.102588583793323	0.717287661004585	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	neutralizing tank for monosodium glutamate	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989014	yHMPu5000038381_candida_manassasensis_170713	38381	Serinales	Candida manassasensis	Standard	Standard	0.807160478114689	1.49617504213742	0.631881817512988	1.18144296100505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gut of Xylopinus saperdioides (Coleoptera; Tenebrionidae)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988774	yHMPu5000037240_candida_sp_210210	37240	Serinales	Candida margitis	Generalist	Standard	0.474543904618578	0.532089700752237	0.252408139680259	0.381219785919004	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	M. fulvidus	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974449	yHMPu5000034927_candida_maris_210210	34927	Pichiales	Candida maris	Specialist	Standard	0	0.915938770475705	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	No	sea water	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989180	yHMPu5000038104_candida_mattranensis_170912	38104	Pichiales	Candida mattraensis	Standard	Generalist	0	0.507774703640426	0.290791935101238	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	NA	No	NA	Yes	Yes	No	No	Leaves	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	No
SRR16989181	yHMPu5000038103_candida_melibiosica_170912	38103	Serinales	Candida melibiosica	Standard	Standard	0.274802217243601	0.448163924139931	0	0.618265292084181	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	sputum	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988690	yHMPu5000037901_candida_membranifaciens_180604	37901	Serinales	Candida membranifaciens	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	urine, of man with cystitis	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974366	yHMPu5000034650_candida_mesenterica_180604	34650	Serinales	Candida mesenterica	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	beer pipes in brewery	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974336	yHMPu5000034993_candida_metapsilosis_170307.haplomerger2	34993	Serinales	Candida metapsilosis	Standard	Standard	0.479910042679662	0.38146877935893	0.328686229005299	0.320192955608194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human hand	Yes	Yes	No	No	No	No	Yes	No	No	No	No
