sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16974395	yHAB131_kazachstania_telluris_170307	Kazachstania_telluris_CBS2685	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974282	yHMPu5000034711_kluyveromyces_lactis_var_drosophilarum_160519	Kluyveromyces_lactis_var._drosophilarum_CBS2105	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974281	yHMPu5000034712_kluyveromyces_lactis_var_lactis_160519	Kluyveromyces_lactis_var._lactis_CBS683	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974280	yHMPu5000034713_kluyveromyces_marxianus_160519.haplomerger2	Kluyveromyces_marxianus_CBS712	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974288	yHMPu5000034701_kluyveromyces_nonfermentans_170307	Kluyveromyces_nonfermentans_CBS8778	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974290	yHMPu5000034699_kluyveromyces_wickerhamii_170307	Kluyveromyces_wickerhamii_CBS2745	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974352	yHMPu5000034664_kodamaea_anthophila_190924	Kodamaea_anthophila_CBS8494	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989221	yHMPu5000038060_kodamaea_kakaduensis_170912	Kodamaea_kakaduensis_CBS8611	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974509	yHMPu5000026273_kodamaea_nitidulidarum_170307	Kodamaea_nitidulidarum_CBS8491	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989200	yHMPu5000038082_candida_suecica_180604	Candida_suecica_CBS5724	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974429	yHMPu5000034953_komagataella_pastoris_160519	Komagataella_pastoris_CBS704	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974436	yHMPu5000034941_komagataella_phaffii_160519	Komagataella_phaffii_CBS2612	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974441	yHMPu5000034936_kuraishia_cidri_180604	Kuraishia_cidri_CBS4241	NR	R	R	R	R	NR	NR	NR	4	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974442	yHMPu5000034935_kuraishia_floccosa_210210	Kuraishia_floccosa_CBS10307	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16989021	yHMPu5000038372_candida_oleophila_170713	Kurtzmaniella_oleophila_CBS2219	NR	NR	R	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974566	yHMPu5000034644_candida_quercitrusa_170307	Kurtzmaniella_quercitrusa_CBS4412	NR	R	NR	R	NR	NR	R	NR	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974291	yHMPu5000034698_lachancea_cidri_201018.haplomerger2	Lachancea_cidri_CBS4575	NR	NR	NR	NR	NR	R	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974725	yHMPu5000034746_lipomyces_smithiae_170713	Limtongia_smithiae_CBS7407	NR	NR	NR	NR	NR	NR	NR	NR	0	Lipomycetales	NA	NA	NA	NA	NA
SRR16974712	yHMPu5000034759_lipomyces_kockii_170307	Lipomyces_kockii_CBS7729	R	R	NR	R	NR	NR	NR	NR	3	Lipomycetales	NA	NA	NA	NA	NA
SRR16974723	yHMPu5000034747_lipomyces_orientalis_170307	Lipomyces_orientalis_CBS10300	R	NR	NR	NR	NR	NR	R	NR	2	Lipomycetales	NA	NA	NA	NA	NA
SRR16974727	yHMPu5000034744_lipomyces_spencer-martinsiae_170307	Lipomyces_sp._CBS5608	R	R	NR	R	NR	NR	NR	NR	3	Lipomycetales	NA	NA	NA	NA	NA
SRR16974259	yHMPu5000034741_lipomyces_tetrasporus_170307	Lipomyces_tetrasporus_CBS5910	R	R	NR	NR	NR	NR	NR	NR	2	Lipomycetales	NA	NA	NA	NA	NA
SRR16974260	yHMPu5000034740_lipomyces_yamadae_SPADES	Lipomyces_yamadae_CBS7532	R	R	NR	R	NR	NR	R	NR	4	Lipomycetales	NA	NA	NA	NA	NA
SRR16974261	yHMPu5000034739_lipomyces_yarrowii_190924	Lipomyces_yarrowii_CBS7557	R	R	NR	NR	NR	NR	NR	NR	2	Lipomycetales	NA	NA	NA	NA	NA
SRR16989110	yHMPu5000041806_metschnikowia_agaves_170307	Metschnikowia_agaves_CBS7744	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988723	yHMPu5000037869_metschnikowia_australis_190924	Metschnikowia_australis_CBS5847	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988724	yHMPu5000037868_metschnikowia_bicuspidata_var_californica_180604.haplomerger2	Metschnikowia_bicuspidata_var._californica_CBS6010	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989109	yHMPu5000041807_metschnikowia_bicuspidata_var_chathamia_190924.haplomerger2	Metschnikowia_bicuspidata_var._chathamia_CBS5980	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989038	yHMPu5000041857_candida_chrysomelidarum_160928.haplomerger2	Metschnikowia_chrysomelidarum_CBS9904	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989107	yHMPu5000041809_metschnikowia_chrysoperlae_170307.haplomerger2	Metschnikowia_chrysoperlae_CBS9803	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988891	yHMPu5000040942_Metschnikowia_colocasiae_SPADES	Metschnikowia_colocasiae_CBS9739	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988773	yHMPu5000035305_metschnikowia_corniflorae_180604.haplomerger2	Metschnikowia_corniflorae_CBS9905	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989106	yHMPu5000041810_metschnikowia_drosophilae_201018	Metschnikowia_drosophilae_CBS8809	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988859	yHMPu5000040947_metschnikowia_gruessii_201018	Metschnikowia_gruessii_CBS7657	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988857	yHMPu5000040949_metschnikowia_hawaiiensis_201018	Metschnikowia_hawaiiensis_CBS7432	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988693	yHMPu5000037898_candida_kofuensis_190924	Metschnikowia_kofuensis_CBS8058	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989121	yHMPu5000038329_metschnikowia_koreensis_180604.haplomerger2	Metschnikowia_koreensis_CBS8854	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989105	yHMPu5000041811_metschnikowia_krissii_170307.haplomerger2	Metschnikowia_krissii_CBS4823	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989104	yHMPu5000041812_metschnikowia_kunwiensis_190924	Metschnikowia_kunwiensis_CBS9676	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988726	yHMPu5000037866_metschnikowia_lachancei_180604	Metschnikowia_lachancei_CBS9131	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
